0.Variable; GVL.rActualBeamPos;;;;1.Variable;; GVL.rBallFeedback;;
0.Address.AddrFlags; 0x00000000;;;;1.Address.AddrFlags;; 0x00000000;;
0.Class;15;;;;1.Class;;14;;
0.Size;8;;;;1.Size;;4;;
0.GraphColor;4278190335;;;;1.GraphColor;;4278222848;;
0.GraphType;8;;;;1.GraphType;;8;;
0.MinWarningColor;4278190080;;;;1.MinWarningColor;;4278190080;;
0.MaxWarningColor;4294901760;;;;1.MaxWarningColor;;4294901760;;
0.CriticalLowerLimit;0;;;;1.CriticalLowerLimit;;0;;
0.CriticalUpperLimit;0;;;;1.CriticalUpperLimit;;0;;
0.ActivateMinWarning;0;;;;1.ActivateMinWarning;;0;;
0.ActivateMaxWarning;0;;;;1.ActivateMaxWarning;;0;;
0.YAxis;0;;;;1.YAxis;;0;;
0.Data;; ;;;1.Data;;; ;
;;383; 5.0001000000000007;;;;;383; -46.848617553710938
;;385; 4.9998000000000005;;;;;385; -46.848617553710938
;;387; 4.9991;;;;;387; -47.158901214599609
;;389; 4.9994000000000005;;;;;389; -48.244880676269531
;;391; 4.9998000000000005;;;;;391; -49.253288269042969
;;393; 5.0001000000000007;;;;;393; -49.098152160644531
;;395; 5.0004;;;;;395; -48.943008422851563
;;397; 5.0008;;;;;397; -48.167312622070313
;;399; 5.0008;;;;;399; -47.314041137695313
;;401; 5.0001000000000007;;;;;401; -47.158901214599609
;;403; 4.9998000000000005;;;;;403; -47.158901214599609
;;405; 4.9998000000000005;;;;;405; -47.158901214599609
;;407; 4.9994000000000005;;;;;407; -47.003761291503906
;;409; 4.9994000000000005;;;;;409; -47.546749114990234
;;411; 4.9998000000000005;;;;;411; -47.624320983886719
;;413; 4.9994000000000005;;;;;413; -47.624320983886719
;;415; 5.0001000000000007;;;;;415; -48.012168884277344
;;417; 5.0004;;;;;417; -48.089740753173828
;;419; 5.0001000000000007;;;;;419; -47.934600830078125
;;421; 5.0001000000000007;;;;;421; -47.391609191894531
;;423; 4.9994000000000005;;;;;423; -46.615909576416016
;;425; 4.9994000000000005;;;;;425; -46.150489807128906
;;427; 4.9991;;;;;427; -46.771049499511719
;;429; 4.9991;;;;;429; -47.46917724609375
;;431; 4.9994000000000005;;;;;431; -47.391609191894531
;;433; 5.0001000000000007;;;;;433; -46.615909576416016
;;435; 5.0008;;;;;435; -46.072921752929688
;;437; 5.0011;;;;;437; -46.538337707519531
;;439; 5.0015;;;;;439; -46.771049499511719
;;441; 5.0004;;;;;441; -46.615909576416016
;;443; 5.0001000000000007;;;;;443; -46.072921752929688
;;445; 4.9994000000000005;;;;;445; -45.9953498840332
;;447; 4.9994000000000005;;;;;447; -46.615909576416016
;;449; 4.9994000000000005;;;;;449; -47.314041137695313
;;451; 4.9998000000000005;;;;;451; -47.701889038085938
;;453; 5.0001000000000007;;;;;453; -47.779460906982422
;;455; 5.0008;;;;;455; -47.624320983886719
;;457; 5.0008;;;;;457; -47.158901214599609
;;459; 5.0001000000000007;;;;;459; -45.8402099609375
;;461; 4.9994000000000005;;;;;461; -45.6850700378418
;;463; 4.9991;;;;;463; -45.9953498840332
;;465; 4.9994000000000005;;;;;465; -46.460769653320313
;;467; 4.9994000000000005;;;;;467; -46.150489807128906
;;469; 5.0001000000000007;;;;;469; -46.072921752929688
;;471; 5.0004;;;;;471; -46.6934814453125
;;473; 5.0001000000000007;;;;;473; -46.926189422607422
;;475; 4.9998000000000005;;;;;475; -47.314041137695313
;;477; 5.0001000000000007;;;;;477; -47.236473083496094
;;479; 5.0001000000000007;;;;;479; -47.003761291503906
;;481; 4.9998000000000005;;;;;481; -47.003761291503906
;;483; 5.0004;;;;;483; -47.236473083496094
;;485; 5.0004;;;;;485; -47.003761291503906
;;487; 5.0004;;;;;487; -46.6934814453125
;;489; 4.9998000000000005;;;;;489; -46.771049499511719
;;491; 5.0001000000000007;;;;;491; -46.460769653320313
;;493; 4.9998000000000005;;;;;493; -45.8402099609375
;;495; 4.9998000000000005;;;;;495; -45.607498168945313
;;497; 5.0004;;;;;497; -46.460769653320313
;;499; 5.0004;;;;;499; -47.314041137695313
;;501; 5.0001000000000007;;;;;501; -47.624320983886719
;;503; 5.0001000000000007;;;;;503; -48.089740753173828
;;505; 4.9998000000000005;;;;;505; -48.787872314453125
;;507; 4.9998000000000005;;;;;507; -49.563568115234375
;;509; 4.9994000000000005;;;;;509; -49.718711853027344
;;511; 4.9994000000000005;;;;;511; -48.477592468261719
;;513; 4.9998000000000005;;;;;513; -47.624320983886719
;;515; 4.9994000000000005;;;;;515; -47.546749114990234
;;517; 5.0004;;;;;517; -48.167312622070313
;;519; 5.0001000000000007;;;;;519; -48.632728576660156
;;521; 5.0004;;;;;521; -48.167312622070313
;;523; 5.0001000000000007;;;;;523; -47.624320983886719
;;525; 4.9998000000000005;;;;;525; -47.236473083496094
;;527; 4.9998000000000005;;;;;527; -46.538337707519531
;;529; 4.9994000000000005;;;;;529; -46.072921752929688
;;531; 4.9998000000000005;;;;;531; -45.9953498840332
;;533; 4.9994000000000005;;;;;533; -46.615909576416016
;;535; 4.9994000000000005;;;;;535; -46.848617553710938
;;537; 4.9998000000000005;;;;;537; -46.926189422607422
;;539; 5.0001000000000007;;;;;539; -47.391609191894531
;;541; 5.0004;;;;;541; -48.089740753173828
;;543; 5.0004;;;;;543; -47.857028961181641
;;545; 5.0004;;;;;545; -47.546749114990234
;;547; 5.0001000000000007;;;;;547; -47.081329345703125
;;549; 4.9998000000000005;;;;;549; -48.012168884277344
;;551; 4.9998000000000005;;;;;551; -48.555160522460938
;;553; 4.9998000000000005;;;;;553; -48.089740753173828
;;555; 4.9994000000000005;;;;;555; -47.934600830078125
;;557; 4.9994000000000005;;;;;557; -47.857028961181641
;;559; 5.0001000000000007;;;;;559; -47.546749114990234
;;561; 5.0001000000000007;;;;;561; -47.314041137695313
;;563; 5.0004;;;;;563; -47.624320983886719
;;565; 5.0001000000000007;;;;;565; -48.012168884277344
;;567; 5.0001000000000007;;;;;567; -47.701889038085938
;;569; 5.0004;;;;;569; -47.46917724609375
;;571; 5.0004;;;;;571; -47.701889038085938
;;573; 5.0001000000000007;;;;;573; -47.546749114990234
;;575; 5.0001000000000007;;;;;575; -47.158901214599609
;;577; 5.0001000000000007;;;;;577; -46.228057861328125
;;579; 5.0001000000000007;;;;;579; -45.917778015136719
;;581; 4.9998000000000005;;;;;581; -45.9953498840332
;;583; 4.9998000000000005;;;;;583; -46.615909576416016
;;585; 4.9994000000000005;;;;;585; -47.236473083496094
;;587; 4.9994000000000005;;;;;587; -47.081329345703125
;;589; 4.9998000000000005;;;;;589; -47.003761291503906
;;591; 4.9998000000000005;;;;;591; -47.314041137695313
;;593; 5.0001000000000007;;;;;593; -47.391609191894531
;;595; 5.0001000000000007;;;;;595; -46.6934814453125
;;597; 5.0001000000000007;;;;;597; -46.460769653320313
;;599; 4.9998000000000005;;;;;599; -47.624320983886719
;;601; 4.9998000000000005;;;;;601; -48.477592468261719
;;603; 4.9994000000000005;;;;;603; -48.167312622070313
;;605; 4.9994000000000005;;;;;605; -47.391609191894531
;;607; 4.9998000000000005;;;;;607; -47.236473083496094
;;609; 4.9998000000000005;;;;;609; -46.848617553710938
;;611; 5.0001000000000007;;;;;611; -46.072921752929688
;;613; 5.0004;;;;;613; -47.003761291503906
;;615; 5.0004;;;;;615; -47.779460906982422
;;617; 5.0001000000000007;;;;;617; -48.167312622070313
;;619; 5.0001000000000007;;;;;619; -47.391609191894531
;;621; 4.9998000000000005;;;;;621; -47.003761291503906
;;623; 4.9994000000000005;;;;;623; -47.546749114990234
;;625; 4.9998000000000005;;;;;625; -47.624320983886719
;;627; 4.9994000000000005;;;;;627; -47.701889038085938
;;629; 4.9998000000000005;;;;;629; -48.167312622070313
;;631; 5.0001000000000007;;;;;631; -48.943008422851563
;;633; 5.0001000000000007;;;;;633; -49.718711853027344
;;635; 4.9998000000000005;;;;;635; -49.17572021484375
;;637; 4.9998000000000005;;;;;637; -47.701889038085938
;;639; 5.0001000000000007;;;;;639; -47.081329345703125
;;641; 5.0001000000000007;;;;;641; -47.236473083496094
;;643; 5.0001000000000007;;;;;643; -47.624320983886719
;;645; 5.0001000000000007;;;;;645; -47.857028961181641
;;647; 4.9998000000000005;;;;;647; -47.857028961181641
;;649; 4.9998000000000005;;;;;649; -47.624320983886719
;;651; 4.9994000000000005;;;;;651; -47.701889038085938
;;653; 4.9994000000000005;;;;;653; -47.701889038085938
;;655; 4.9994000000000005;;;;;655; -47.236473083496094
;;657; 4.9994000000000005;;;;;657; -47.158901214599609
;;659; 5.0001000000000007;;;;;659; -47.624320983886719
;;661; 5.0004;;;;;661; -47.46917724609375
;;663; 5.0004;;;;;663; -46.460769653320313
;;665; 5.0004;;;;;665; -45.9953498840332
;;667; 5.0001000000000007;;;;;667; -46.538337707519531
;;669; 4.9998000000000005;;;;;669; -46.771049499511719
;;671; 4.9994000000000005;;;;;671; -47.391609191894531
;;673; 4.9994000000000005;;;;;673; -47.391609191894531
;;675; 4.9994000000000005;;;;;675; -48.400016784667969
;;677; 4.9994000000000005;;;;;677; -49.020580291748047
;;679; 4.9998000000000005;;;;;679; -49.718711853027344
;;681; 4.9998000000000005;;;;;681; -48.555160522460938
;;683; 4.9998000000000005;;;;;683; -48.477592468261719
;;685; 5.0001000000000007;;;;;685; -48.710300445556641
;;687; 5.0004;;;;;687; -48.865440368652344
;;689; 5.0008;;;;;689; -48.787872314453125
;;691; 5.0004;;;;;691; -48.32244873046875
